Time,signal,Trade Timestamps,center
0,0.049818866,0.021807272,
0.182161508,0.063842606,11.46906966,
1.881266644,0.033247775,11.65096628,
3.030647702,0.042620159,14.63374257,
4.979155787,0.658921951,14.95867115,
6.807989609,0.017426974,16.92626407,
8.501574735,0.611406748,21.19701407,
10.13652568,0.300486967,37.64211081,
11.4628665,0.628883174,39.2904953,
11.47848839,0.301247883,40.13920658,
11.69053327,0.099662484,40.56152585,
12.82294313,0.180875365,49.55087574,
14.30885577,0.344870343,50.11839914,
14.90950943,0.585899502,53.2298386,
15.32028506,0.45837554,56.85577333,
16.50312366,0.316104803,58.90970031,
17.30101646,0.290820773,61.31407477,
19.09786089,0.372405432,64.97291122,
20.64236238,0.023823556,84.37640454,
21.56769377,0.020253923,94.60840575,
23.04115393,0.030462325,99.38835622,
24.89482974,0.013357371,101.8438619,
26.83618775,0.002899189,105.9127297,
28.41888966,0.180181234,109.4063023,
30.233331,0.173114162,118.8917674,
32.18063377,0.618181398,119.828547,
34.13866935,0.51245688,119.9260991,
36.03444157,0.002553985,127.2794904,
37.54872738,0.126682208,132.3003843,
37.67035401,0.097786261,133.0043841,
38.77502191,0.611329219,133.4959246,
39.7599042,0.191131951,136.4936675,
40.53880063,0.034086785,154.6354549,
40.56764269,0.049418549,156.5072417,
42.30235008,3.31E-05,156.5756104,
43.79780841,0.064566566,156.8791553,
45.44124979,0.13206113,177.6760367,
46.44760313,0.294669903,194.1576383,
48.1194953,0.845228789,194.6546811,
49.52068144,0.637852048,202.1967419,
49.60163521,0.730154951,205.5859163,
50.30257033,0.257606556,208.7664422,
51.57292911,0.005058823,218.9953598,
53.22212931,0.988221814,219.0603694,
53.24318336,0.010872723,222.1447807,
54.63015013,0.91139045,224.1960295,
56.13995154,0.507651302,227.4733521,
57.06019796,0.407968963,234.1618999,
58.74540256,0.844668808,235.9633389,
59.49211356,0.975879152,238.1217364,
61.09720287,0.000139028,243.9897888,
61.47499442,0.029451421,246.5931188,
62.94556264,0.015994061,247.4292115,
64.83279241,0.849824653,253.975363,
65.05298614,0.01869477,256.0292646,
66.98549134,0.00074643,262.8508427,
68.22461997,0.935694346,264.7075889,
69.55323556,0.154494173,265.5217226,
70.95522112,0.030145118,267.6307933,
71.99338756,0.167105659,268.3616066,
73.99239703,0.203024912,271.4738099,
75.36428029,0.235539145,272.1760823,
76.51042962,0.440880467,274.4689112,
77.93438464,0.884358064,275.2117949,
79.06853301,0.05723163,275.4956468,
80.53797662,0.165333164,281.381995,
82.53726763,0.851434826,285.224883,
84.12819361,0.000998393,285.5664478,
84.48661534,0.060051442,285.8262403,
85.58624981,0.192473443,287.8006344,
87.13998783,0.0738201,292.2644824,
88.91907429,0.270618942,294.0757723,
90.80909454,0.04149282,297.503468,
92.59439328,0.480420276,298.0496204,
94.55200985,0.539302486,307.1428554,
95.03129994,0.320337913,311.4371394,
96.56062699,0.001251322,312.2242725,
97.84227349,0.760185598,315.1036112,
99.21792201,0.660838674,320.923295,
99.60554147,0.315453463,322.8412159,
101.5420959,0.002390242,333.9734162,
